Date,Time,Temperature,Humidity
2023-01-30,06:49:29,23.8,61.8
2023-01-30,06:49:35,23.8,61.8
2023-01-30,06:49:40,23.8,61.8
2023-01-30,06:49:46,23.8,61.7
2023-01-30,06:49:51,23.8,61.7
2023-01-30,06:49:57,23.8,61.7
2023-01-30,06:50:03,23.8,61.8
2023-01-30,06:50:11,23.8,61.7
2023-01-30,06:50:16,23.8,61.7
2023-01-30,06:50:22,23.8,61.7
2023-01-30,06:50:27,23.8,61.7
2023-01-30,06:50:33,23.8,61.7
2023-01-30,06:50:38,23.8,61.7
2023-01-30,06:50:44,23.8,61.7
2023-01-30,06:50:49,23.8,61.7
2023-01-30,06:50:55,23.8,61.7
2023-01-30,06:51:03,23.8,61.7
2023-01-30,06:51:09,23.8,61.7
2023-01-30,06:51:14,23.8,61.7
2023-01-30,06:51:20,23.8,61.7
2023-01-30,06:51:25,23.8,61.7
2023-01-30,06:51:31,23.8,61.7
2023-01-30,06:51:36,23.8,61.7
2023-01-30,06:51:42,23.8,61.7
2023-01-30,06:51:47,23.8,61.7
2023-01-30,06:51:53,23.8,61.7
2023-01-30,06:51:58,23.8,61.7
2023-01-30,06:52:04,23.9,61.7
2023-01-30,06:52:09,23.8,61.7
2023-01-30,06:52:15,23.8,61.7
2023-01-30,06:52:20,23.8,61.7
2023-01-30,06:52:26,23.8,61.7
2023-01-30,06:52:32,23.9,61.7
2023-01-30,06:52:37,23.8,61.7
2023-01-30,06:52:43,23.8,61.7
2023-01-30,06:52:48,23.9,61.7
2023-01-30,06:52:54,23.8,61.7
2023-01-30,06:52:59,23.8,61.7
2023-01-30,06:53:05,23.8,61.7
2023-01-30,06:53:10,23.8,61.7
2023-01-30,06:53:16,23.8,61.7
2023-01-30,06:53:21,23.8,61.7
2023-01-30,06:53:27,23.8,61.7
2023-01-30,06:53:32,23.8,61.7
2023-01-30,06:53:38,23.8,61.8
2023-01-30,06:53:43,23.8,61.8
2023-01-30,06:53:49,23.8,61.8
2023-01-30,06:53:55,23.8,61.7
2023-01-30,06:54:00,23.8,61.8
2023-01-30,06:54:08,23.8,61.8
2023-01-30,06:54:14,23.8,61.8
2023-01-30,06:54:19,23.8,61.8
2023-01-30,06:54:25,23.8,61.8
2023-01-30,06:54:30,23.8,61.8
2023-01-30,06:54:36,23.8,61.8
2023-01-30,06:54:41,23.8,61.7
2023-01-30,06:54:47,23.8,61.8
2023-01-30,06:54:52,23.8,61.8
2023-01-30,06:54:58,23.8,61.8
2023-01-30,06:55:06,23.8,61.8
2023-01-30,06:55:12,23.8,61.8
2023-01-30,06:55:17,23.8,61.8
2023-01-30,06:55:23,23.8,61.8
2023-01-30,06:55:28,23.8,61.8
2023-01-30,06:55:34,23.8,61.7
2023-01-30,06:55:39,23.8,61.7
2023-01-30,06:55:45,23.8,61.7
2023-01-30,06:55:50,23.8,61.7
2023-01-30,06:55:56,23.8,61.7
2023-01-30,06:56:01,23.8,61.7
2023-01-30,06:56:07,23.8,61.7
2023-01-30,06:56:13,23.8,61.7
2023-01-30,06:56:18,23.8,61.7
2023-01-30,06:56:24,23.8,61.7
2023-01-30,06:56:29,23.8,61.7
2023-01-30,06:56:35,23.8,61.7
2023-01-30,06:56:40,23.8,61.7
2023-01-30,06:56:46,23.8,61.7
2023-01-30,06:56:51,23.8,61.7
2023-01-30,06:56:57,23.8,61.7
2023-01-30,06:57:02,23.8,61.7
2023-01-30,06:57:08,23.8,61.7
2023-01-30,06:57:13,23.8,61.8
2023-01-30,06:57:19,23.8,61.8
2023-01-30,06:57:24,23.8,61.8
